Designator,Mid X,Mid Y,Layer,Rotation
"Q2",73.5500,-123.4200,top,90.0000
"Q3",84.4500,-123.2700,top,180.0000
"Q4",90.0000,-124.3700,top,90.0000
"Q5",97.7200,-124.3500,top,90.0000
"R1",131.8700,-152.0800,top,270.0000
"R2",97.3400,-143.1900,top,180.0000
"R3",112.9400,-86.0200,top,0.0000
"R4",91.8400,-86.0200,top,0.0000
"R5",133.9400,-86.0200,top,0.0000
"R6",154.8400,-86.0200,top,0.0000
"R7",91.7400,-108.9200,top,0.0000
"R8",133.8400,-109.0200,top,0.0000
"R10",112.8400,-109.0200,top,0.0000
"R11",106.5800,-159.1300,top,0.0000
"R12",109.9700,-159.1300,top,0.0000
"R13",103.1400,-161.0900,top,0.0000
"R14",103.1300,-159.1400,top,180.0000
"R15",113.2500,-164.2600,top,270.0000
"R16",103.1400,-163.0600,top,180.0000
"R17",96.7600,-156.1575,top,270.0000
"R18",96.7640,-152.1120,top,90.0000
"R19",113.4300,-151.9700,top,270.0000
"R20",160.0200,-144.8000,top,270.0000
"R21",155.8600,-144.8200,top,90.0000
"R22",157.8900,-144.8000,top,270.0000
"R24",82.7600,-78.1900,top,90.0000
"R25",79.9900,-118.4800,top,90.0000
"R26",78.0600,-118.4800,top,90.0000
"R27",82.6400,-102.2950,top,0.0000
"R28",79.1900,-106.3200,top,0.0000
"R29",79.1650,-104.3200,top,0.0000
"R30",82.6650,-106.3450,top,0.0000
"R31",122.9600,-154.3500,top,0.0000
"R34",135.8200,-152.5200,top,90.0000
"R35",133.8400,-152.5600,top,90.0000
"R36",76.2900,-123.4000,top,90.0000
"R37",78.2600,-123.3900,top,90.0000
"R38",77.0700,-126.6500,top,90.0000
"R39",80.9700,-124.2100,top,0.0000
"R40",80.9700,-122.2800,top,0.0000
"R41",76.8900,-151.9800,top,90.0000
"R42",94.6900,-124.3300,top,270.0000
"R43",92.7500,-124.3300,top,270.0000
"R44",77.0100,-134.4200,top,90.0000
"R45",100.7500,-126.4100,top,90.0000
"R46",100.7300,-122.9900,top,270.0000
"R47",76.9700,-143.1600,top,90.0000
"R60",113.8375,-149.1500,top,180.0000
"U1",123.6100,-134.4600,top,270.0000
"U2",108.6000,-162.9000,top,90.0000
"U4",83.3100,-161.6300,bottom,180.0000
"U6",95.4900,-161.6700,bottom,180.0000
"U7",93.0100,-154.1600,top,180.0000
"U8",100.4740,-154.1720,top,0.0000
"U9",107.6000,-155.2900,top,0.0000
"U10",154.2600,-152.2100,top,270.0000
"U11",71.9900,-89.6700,top,0.0000
"U12",77.4150,-98.1450,top,90.0000
"U13",88.6600,-116.8700,top,180.0000
"U14",122.9800,-148.9800,top,180.0000
"Y1",111.8900,-139.7100,top,270.0000
"Y2",147.1500,-153.4500,top,270.0000
